playername,LPER,Difference_From_Top,Difference_From_Average,LPER_normalized,Z-score,Role_Mean,Role_Std,Z-Elo,Z-Elo_Positive
Canna,2962,-559,422.9124999999999,0.8021434460016488,1.4687400883560302,2528.5555555555557,295.11310263860327,1469,3354
Kuro,3102,-419,441.51948051948057,0.6912306558585114,1.3473840820199867,2711.0461538461536,290.1576850809546,1347,3232
Clozer,3073,-448,412.51948051948057,0.6698599852616065,1.2474384266364011,2711.0461538461536,290.1576850809546,1247,3132
MaRin,2890,-631,350.9124999999999,0.7427864798021434,1.2247658311771765,2528.5555555555557,295.11310263860327,1225,3110
Kramer,3284,-441,450.45121951219517,0.6771595900439239,1.2166152319873142,2903.7571428571428,312.5415884541729,1217,3102
FATE,3063,-458,402.51948051948057,0.6624907885040531,1.212974407538613,2711.0461538461536,290.1576850809546,1213,3098
Rascal,2881,-640,341.9124999999999,0.7353668590272052,1.1942690490298198,2528.5555555555557,295.11310263860327,1194,3079
PraY,3274,-451,440.45121951219517,0.6698389458272328,1.1846194900783418,2903.7571428571428,312.5415884541729,1185,3070
Sw0rd,2853,-668,313.9124999999999,0.7122835943940643,1.0993901712380434,2528.5555555555557,295.11310263860327,1099,2984
Kingen,2839,-682,299.9124999999999,0.7007419620774938,1.0519507323421553,2528.5555555555557,295.11310263860327,1052,2937
Thal,2835,-686,295.9124999999999,0.6974443528441879,1.0383966069433301,2528.5555555555557,295.11310263860327,1038,2923
PerfecT,2832,-689,292.9124999999999,0.6949711459192086,1.0282310128942111,2528.5555555555557,295.11310263860327,1028,2913
Mystic,3223,-502,389.45121951219517,0.6325036603221084,1.0214412063425824,2903.7571428571428,312.5415884541729,1021,2906
Sangyoon,3210,-515,376.45121951219517,0.62298682284041,0.9798467418609181,2903.7571428571428,312.5415884541729,980,2865
BuLLDoG,2984,-537,323.51948051948057,0.604274134119381,0.9407086566660872,2711.0461538461536,290.1576850809546,941,2826
